state_code,district_code,sub_district_code,level,area_name,noofvillages,total_population,male_population,female_population
0,0,0,INDIA,INDIA,597608,833748852,427781058,405967794
1,0,0,STATE,JAMMU & KASHMIR,6337,9108060,4774477,4333583
1,1,0,DISTRICT,Kupwara,353,765625,412038,353587
1,1,1,SUB-DISTRICT,Kupwara,118,465323,252856,212467
1,1,2,SUB-DISTRICT,Handwara,196,255711,134503,121208
1,1,3,SUB-DISTRICT,Karnah,39,44591,24679,19912
1,2,0,DISTRICT,Badgam,462,655833,343385,312448
1,2,4,SUB-DISTRICT,Khag,49,67596,34457,33139
1,2,5,SUB-DISTRICT,Beerwah,102,149671,80103,69568
1,2,6,SUB-DISTRICT,Khansahib,96,120682,62783,57899
1,2,7,SUB-DISTRICT,Budgam,95,111056,57359,53697
1,2,8,SUB-DISTRICT,Chadoora,104,164945,86218,78727
1,2,9,SUB-DISTRICT,Charar- E- Shrief,16,41883,22465,19418
1,3,0,DISTRICT,Leh(Ladakh),111,87816,48411,39405
1,3,10,SUB-DISTRICT,Leh,60,48290,26037,22253
1,3,11,SUB-DISTRICT,Nubra,28,22433,13740,8693
1,3,12,SUB-DISTRICT,Khalsi,23,17093,8634,8459
1,4,0,DISTRICT,Kargil,125,124464,67703,56761
1,4,13,SUB-DISTRICT,Kargil,64,70123,39349,30774
1,4,14,SUB-DISTRICT,Sanku,36,40548,21346,19202
1,4,15,SUB-DISTRICT,Zanskar,25,13793,7008,6785
1,5,0,DISTRICT,Punch,170,438205,229774,208431
1,5,16,SUB-DISTRICT,Haveli,49,105913,55475,50438
1,5,17,SUB-DISTRICT,Mandi,37,77947,41365,36582
1,5,18,SUB-DISTRICT,Mendhar,51,136333,70776,65557
1,5,19,SUB-DISTRICT,Surankote,33,118012,62158,55854
1,6,0,DISTRICT,Rajouri,375,590101,310748,279353
1,6,20,SUB-DISTRICT,Thanamandi,32,62283,32373,29910
1,6,21,SUB-DISTRICT,Darhal,11,36227,19121,17106
1,6,22,SUB-DISTRICT,Rajauri,118,159581,84130,75451
1,6,23,SUB-DISTRICT,Budhal,51,123050,64990,58060
1,6,24,SUB-DISTRICT,Kalakote,68,72667,37864,34803
1,6,25,SUB-DISTRICT,Nowshehra,52,79008,42417,36591
1,6,26,SUB-DISTRICT,Sunderbani,43,57285,29853,27432
1,7,0,DISTRICT,Kathua,496,526722,278126,248596
1,7,27,SUB-DISTRICT,Billawar,65,145904,77072,68832
1,7,28,SUB-DISTRICT,Bashohli,38,65377,34351,31026
1,7,29,SUB-DISTRICT,Bani,33,45996,23889,22107
1,7,30,SUB-DISTRICT,Kathua,163,139941,74698,65243
1,7,31,SUB-DISTRICT,Hiranagar,197,129504,68116,61388
1,8,0,DISTRICT,Baramula,509,825539,432399,393140
1,8,32,SUB-DISTRICT,Sopore,57,148621,75856,72765
1,8,33,SUB-DISTRICT,Rafiabad,77,85624,43789,41835
1,8,34,SUB-DISTRICT,Pattan,94,209617,110686,98931
1,8,35,SUB-DISTRICT,Baramulla,42,78215,40998,37217
1,8,36,SUB-DISTRICT,Kreeri,50,66954,34447,32507
1,8,37,SUB-DISTRICT,Uri,41,65501,35153,30348
1,8,38,SUB-DISTRICT,Boniyar,52,72564,39566,32998
1,8,39,SUB-DISTRICT,Tangmarg ,96,98443,51904,46539
1,9,0,DISTRICT,Bandipore,119,326871,172263,154608
1,9,40,SUB-DISTRICT,Gurez,28,37992,22978,15014
1,9,41,SUB-DISTRICT,Bandipora,41,140657,72858,67799
1,9,42,SUB-DISTRICT,Sonawari,50,148222,76427,71795
1,10,0,DISTRICT,Srinagar,11,17313,8916,8397
1,10,43,SUB-DISTRICT,Srinagar (North),8,10910,5725,5185
1,10,44,SUB-DISTRICT,Srinagar (South),3,6403,3191,3212
1,11,0,DISTRICT,Ganderbal,113,250407,133715,116692
1,11,45,SUB-DISTRICT,Lar,42,80223,43281,36942
1,11,46,SUB-DISTRICT,Kangan,42,120934,64723,56211
1,11,47,SUB-DISTRICT,Ganderbal,29,49250,25711,23539
1,12,0,DISTRICT,Pulwama,319,479978,248096,231882
1,12,48,SUB-DISTRICT,Pampore,23,50033,26255,23778
1,12,49,SUB-DISTRICT,Awantipora,43,73860,38169,35691
1,12,50,SUB-DISTRICT,Tral,66,92352,47592,44760
1,12,51,SUB-DISTRICT,Pulwama,187,263733,136080,127653
1,13,0,DISTRICT,Shupiyan,226,249855,127161,122694
1,13,52,SUB-DISTRICT,Shopian,226,249855,127161,122694
1,14,0,DISTRICT,Anantnag,335,795805,411012,384793
1,14,53,SUB-DISTRICT,Pahalgam,65,104101,53290,50811
1,14,54,SUB-DISTRICT,Bijbehara,51,112197,56259,55938
1,14,55,SUB-DISTRICT,Anantnag,82,179530,91832,87698
1,14,56,SUB-DISTRICT,Shangus,25,66228,34917,31311
1,14,57,SUB-DISTRICT,Kokernag,51,167159,87355,79804
1,14,58,SUB-DISTRICT,Dooru,61,166590,87359,79231
1,15,0,DISTRICT,Kulgam,226,343870,175574,168296
1,15,59,SUB-DISTRICT,Kulgam,161,214925,109277,105648
1,15,60,SUB-DISTRICT, Devsar,15,22128,11344,10784
1,15,61,SUB-DISTRICT,Damhal Hanjipora,50,106817,54953,51864
1,16,0,DISTRICT,Doda,402,377247,195430,181817
1,16,62,SUB-DISTRICT,Doda,126,181111,93703,87408
1,16,63,SUB-DISTRICT,Thathri,92,59955,31627,28328
1,16,64,SUB-DISTRICT,Gandoh,66,71889,36754,35135
1,16,65,SUB-DISTRICT,Bhaderwah,118,64292,33346,30946
1,17,0,DISTRICT,Ramban,127,271902,142317,129585
1,17,66,SUB-DISTRICT,Banihal,33,121145,62539,58606
1,17,67,SUB-DISTRICT,Ramban,94,150757,79778,70979
1,18,0,DISTRICT,Kishtwar,155,215831,111986,103845
1,18,68,SUB-DISTRICT,Kishtwar,82,114624,59530,55094
1,18,69,SUB-DISTRICT,Marwah,27,35572,18364,17208
1,18,70,SUB-DISTRICT,Chhatroo,14,44087,22815,21272
1,18,71,SUB-DISTRICT,Atholi (Paddar),32,21548,11277,10271
1,19,0,DISTRICT,Udhampur,325,446777,232974,213803
1,19,72,SUB-DISTRICT,Udhampur,149,177828,92989,84839
1,19,73,SUB-DISTRICT,Chenani,46,60568,31380,29188
1,19,74,SUB-DISTRICT,Ramnagar,88,160718,83518,77200
1,19,75,SUB-DISTRICT,Majalta,42,47663,25087,22576
1,20,0,DISTRICT,Reasi,253,287671,151481,136190
1,20,76,SUB-DISTRICT,Gool-Gulabgarh,61,147843,78181,69662
1,20,77,SUB-DISTRICT,Reasi,192,139828,73300,66528
1,21,0,DISTRICT,Jammu,780,764945,401603,363342
1,21,78,SUB-DISTRICT,Akhnoor,207,218825,114114,104711
1,21,79,SUB-DISTRICT,Jammu,309,284890,150516,134374
1,21,80,SUB-DISTRICT,Ranbir Singh Pora,163,169459,89097,80362
1,21,81,SUB-DISTRICT,Bishnah,101,91771,47876,43895
1,22,0,DISTRICT,Samba,345,265283,139365,125918
1,22,82,SUB-DISTRICT,Samba,345,265283,139365,125918
2,0,0,STATE,HIMACHAL PRADESH,17882,6176050,3110345,3065705
2,23,0,DISTRICT,Chamba,1110,482972,241963,241009
2,23,83,SUB-DISTRICT,Pangi,60,18868,9579,9289
2,23,84,SUB-DISTRICT,Chaurah,181,78988,40152,38836
2,23,85,SUB-DISTRICT,Saluni,132,47939,24197,23742
2,23,86,SUB-DISTRICT,Bhalai,78,25326,12561,12765
2,23,87,SUB-DISTRICT,Dalhousie,119,36160,17968,18192
2,23,88,SUB-DISTRICT,Bhattiyat,123,37392,18535,18857
2,23,89,SUB-DISTRICT,Sihunta,80,39871,19634,20237
2,23,90,SUB-DISTRICT,Chamba,241,159320,79228,80092
2,23,91,SUB-DISTRICT,Holi,46,14094,7236,6858
2,23,92,SUB-DISTRICT,Brahmaur,50,25014,12873,12141
2,24,0,DISTRICT,Kangra,3617,1423794,705365,718429
2,24,93,SUB-DISTRICT,Nurpur,392,166718,84969,81749
2,24,94,SUB-DISTRICT,Indora,112,76692,39901,36791
2,24,95,SUB-DISTRICT,Fatehpur,223,62041,31105,30936
2,24,96,SUB-DISTRICT,Jawali,195,112746,56022,56724
2,24,97,SUB-DISTRICT,Harchakian,60,13841,6746,7095
2,24,98,SUB-DISTRICT,Shahpur,152,67758,33220,34538
2,24,99,SUB-DISTRICT,Dharmsala,151,93744,47329,46415
2,24,100,SUB-DISTRICT,Kangra,161,88040,44302,43738
2,24,101,SUB-DISTRICT,Nagrota Bagwan,157,70999,35346,35653
2,24,102,SUB-DISTRICT,Baroh,161,25789,12403,13386
2,24,103,SUB-DISTRICT,Dera Gopipur,282,115967,56094,59873
2,24,104,SUB-DISTRICT,Jawalamukhi,122,38143,18404,19739
2,24,105,SUB-DISTRICT,Jaswan,86,32520,15907,16613
2,24,106,SUB-DISTRICT,Rakkar,103,29503,14451,15052
2,24,107,SUB-DISTRICT,Khundian,216,38231,18607,19624
2,24,108,SUB-DISTRICT,Thural,84,19287,9034,10253
2,24,109,SUB-DISTRICT,Dhira,113,22119,10498,11621
2,24,110,SUB-DISTRICT,Jaisinghpur,218,61082,27938,33144
2,24,111,SUB-DISTRICT,Palampur,395,185733,91993,93740
2,24,112,SUB-DISTRICT,Baijnath,200,95229,47175,48054
2,24,113,SUB-DISTRICT,Multhan,34,7612,3921,3691
2,25,0,DISTRICT,Lahul & Spiti,280,31564,16588,14976
2,25,114,SUB-DISTRICT,Udaipur,66,8889,4482,4407
2,25,115,SUB-DISTRICT,Lahul,132,10218,5415,4803
2,25,116,SUB-DISTRICT,Spiti,82,12457,6691,5766
2,26,0,DISTRICT,Kullu,314,396512,203269,193243
2,26,117,SUB-DISTRICT,Manali,70,43565,22993,20572
2,26,118,SUB-DISTRICT,Kullu,156,174835,89410,85425
2,26,119,SUB-DISTRICT,Sainj,14,25908,13342,12566
2,26,120,SUB-DISTRICT,Banjar,31,42198,21445,20753
